nro_solicitud,periodo,categoria,prestacion,tipo,fecha_ingreso,hora_ingreso,distrito,urbanizacion,via,numero,referencia,canal,latitud,longitud,genero,estado
00002001/23,202303,Alumbrado Público,Mayor iluminación en calle / plaza,Solicitud,2023-03-25,23:58:41,Chorrillos,Matellini,Av. Huaylas,342,,X,-12.155079,-77.025555,M,Cerrado
00002002/23,202303,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-03-26,07:16:05,Cercado de Lima,Santa Beatriz,Av. Abancay,5244,,X,-12.03686,-77.028443,F,Cerrado
00002003/23,202303,Tránsito/Transporte,Auto en depósito,Solicitud,2023-03-26,12:44:43,Villa María del Triunfo,Tablada de Lurín,Av. Pachacútec,4194,,X,-12.137745,-76.943561,F,Cerrado
00002004/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-26,15:21:05,San Juan de Lurigancho,Zárate,Av. Canto Grande,1498,,Línea telefónica,-11.972403,-76.975064,M,Cerrado
00002005/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-26,16:26:48,Puente Piedra,Zapallal,Panamericana Norte,794,,X,-11.875838,-77.073489,M,Cerrado
00002006/23,202303,Limpieza Pública,Reparación de contenedor,Solicitud,2023-03-26,17:43:27,Villa María del Triunfo,César Vallejo,Av. Pachacútec,4538,,Facebook,-12.159635,-76.907353,M,Cerrado
00002007/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-26,18:10:50,Carabayllo,San Pedro de Carabayllo,Av. San Felipe,3945,,Facebook,-11.896922,-77.077309,M,Cerrado
00002008/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-26,20:24:11,Chaclacayo,Morón,Ca. Los Ángeles,1071,,Facebook,-11.981419,-76.776889,F,Cerrado
00002009/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-26,23:08:08,Lurigancho-Chosica,Jicamarca,Av. Lima Sur,2859,,X,-11.96055,-76.749695,M,Cerrado
00002010/23,202303,Alumbrado Público,Reparación de luminaria apagada durante la noche,Solicitud,2023-03-26,23:17:58,Los Olivos,Mercurio,Av. Naranjal,1057,,Facebook,-11.949865,-77.050793,M,Cerrado
00002011/23,202303,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-03-26,23:18:15,San Juan de Miraflores,María Auxiliadora,Av. San Juan,522,,Facebook,-12.140128,-76.964844,F,Cerrado
00002012/23,202303,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-03-27,00:19:31,Comas,La Pascana,Av. Micaela Bastidas,cdra. 33,a la altura del paradero de Av. Universitaria,Línea telefónica,-11.903647,-77.044164,M,Cerrado
00002013/23,202303,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-03-27,01:38:03,San Juan de Lurigancho,Zárate,Av. Las Flores de Primavera,1411,,X,-12.013475,-76.976124,F,Cerrado
00002014/23,202303,Tránsito/Transporte,Altas - bajas temperaturas - SUBTE,Reclamo,2023-03-27,01:55:44,Santa Anita,Universal,Av. Los Eucaliptos,2299,,Facebook,-12.034779,-76.965934,M,Cerrado
00002015/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,08:15:10,Comas,El Retablo,Ca. Los Incas,2216,,X,-11.901285,-77.047035,No especificado,Cerrado
00002016/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,08:59:24,Ate,Huaycán,Av. Prolongación Javier Prado,1800,,Línea telefónica,-12.062436,-76.880464,M,Cerrado
00002017/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-27,09:02:13,Santa Anita,Viña San Francisco,Av. Santiago de Chuco,1456,,Facebook,-12.04983,-76.961067,M,Cerrado
00002018/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,09:23:00,Independencia,Tahuantinsuyo,Av. Carlos Izaguirre,5127,,Línea telefónica,-11.977721,-77.069974,M,Cerrado
00002019/23,202303,Limpieza Pública,"Desratizar, desinsectar y desinfectar en vía pública",Solicitud,2023-03-27,09:24:05,Villa El Salvador,Sector 3,Av. Revolución,381,,Facebook,-12.234978,-76.947012,F,Cerrado
00002020/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,09:28:05,Cercado de Lima,Unidad Vecinal Mirones,Jr. Camaná,2074,,X,-12.041752,-77.028029,M,Cerrado
00002021/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,09:29:56,Santa Anita,Viña San Francisco,Av. La Cultura,665,,X,-12.048614,-76.956708,F,Cerrado
00002022/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,09:30:09,Villa El Salvador,Sector 3,Av. Micaela Bastidas,1999,,X,-12.210045,-76.915229,No especificado,Cerrado
00002023/23,202303,Tránsito/Transporte,Restos de obra en vereda que impiden el paso,Reclamo,2023-03-27,09:33:13,San Miguel,La Paz de San Miguel,Av. La Paz,834,,Facebook,-12.088209,-77.081983,No especificado,Cerrado
00002024/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,09:39:18,Villa El Salvador,Sector 1,Av. César Vallejo,2074,,X,-12.202656,-76.932098,No especificado,Cerrado
00002025/23,202303,Tránsito/Transporte,Reparación de cuneta,Solicitud,2023-03-27,09:42:47,Independencia,Unificada,Av. Carlos Izaguirre,2561,,Facebook,-11.971321,-77.063738,No especificado,Ingresado
00002026/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,09:57:13,San Martín de Porres,Santa Luisa,Av. Universitaria,2241,,Facebook,-12.033559,-77.11404,F,Cerrado
00002027/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,10:05:42,San Juan de Lurigancho,Campoy,Av. El Sol de Zárate,3230,,X,-12.016778,-76.957718,M,Cerrado
00002028/23,202303,Limpieza Pública,Reparación de contenedor,Solicitud,2023-03-27,10:27:27,San Juan de Lurigancho,Mangomarca,Av. El Sol de Zárate,1040,,Facebook,-11.966665,-76.956641,F,Cerrado
00002029/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-27,10:29:15,San Martín de Porres,Fiori,Av. Universitaria,657,,Facebook,-12.003982,-77.104652,F,Cerrado
00002030/23,202303,Tránsito/Transporte,Reparación de vereda por raíces de árbol que producen roturas,Solicitud,2023-03-27,10:29:30,Ate,Ceres,Ca. Los Cipreses,4588,,Facebook,-11.989865,-76.906747,F,Cerrado
00002031/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-27,10:33:35,San Martín de Porres,Infantas,Av. José Granda,3629,,Facebook,-12.016664,-77.086189,F,Cerrado
00002032/23,202303,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-03-27,10:36:13,Comas,Collique,Av. Belaunde,4688,,X,-11.939456,-77.069392,F,Cerrado
00002033/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-27,10:37:45,Cercado de Lima,Barrios Altos,Av. Nicolás de Piérola,2815,,Facebook,-12.04665,-77.026836,F,Cerrado
00002034/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,10:40:10,Los Olivos,Covida,Av. Universitaria,3046,,Facebook,-11.979211,-77.070309,M,Cerrado
00002035/23,202303,Áreas Verdes,Extracción de árbol,Solicitud,2023-03-27,10:43:18,Los Olivos,El Trébol,Av. Universitaria,428,,Presencial,-11.964444,-77.087931,F,Cerrado
00002036/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-27,10:53:07,Ate,Santa Clara,Av. José Carlos Mariátegui,1925,,X,-12.050664,-76.930917,No especificado,Derivado
00002037/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,11:10:36,Villa María del Triunfo,César Vallejo,Av. Pachacútec,4725,,Facebook,-12.168672,-76.944755,No especificado,Cerrado
00002038/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-27,11:11:25,San Martín de Porres,Naranjal,Av. Canta Callao,300,,Facebook,-12.03726,-77.08782,F,Cerrado
00002039/23,202303,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-03-27,11:14:02,Ate,Salamanca,Ca. Los Cipreses,cdra. 30,a la altura del grifo,Presencial,-12.041192,-76.892316,M,Cerrado
00002040/23,202303,Tránsito/Transporte,Reparación de vereda por raíces de árbol que producen roturas,Solicitud,2023-03-27,11:19:15,Barranco,La Ermita,Av. Grau,1899,,X,-12.147707,-77.019921,F,Cerrado
00002041/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-27,11:23:21,Comas,Año Nuevo,Av. El Retablo,9500,,Facebook,-11.958911,-77.062854,F,Cerrado
00002042/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,11:27:15,Pueblo Libre,Bolívar,Av. Bolívar,2712,,X,-12.083455,-77.054829,F,Cerrado
00002043/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,11:27:58,Puente Piedra,Jerusalén,Av. Puente Piedra,900,,Facebook,-11.832925,-77.100834,F,Cerrado
00002044/23,202303,Limpieza Pública,Recolección de residuos fuera del contenedor,Solicitud,2023-03-27,11:35:33,Lurigancho-Chosica,Ñaña,Av. Lima Sur,800,,Presencial,-11.980212,-76.745389,M,Cerrado
00002045/23,202303,Seguridad Ciudadana (Serenazgo),Mayor presencia policial,Solicitud,2023-03-27,11:37:29,Carabayllo,San Pedro de Carabayllo,Av. Túpac Amaru,cdra. 33,cruce con Av. San Felipe,Presencial,-11.810015,-76.982227,M,Cerrado
00002046/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-27,11:37:55,Ate,Ceres,Av. José Carlos Mariátegui,1983,,X,-12.00177,-76.905103,F,Cerrado
00002047/23,202303,Áreas Verdes,"Propuesta para la mejora de la organización de bancos, cestos de basura y/o cartelería en Ecoparque Interactivo",Denuncia,2023-03-27,11:38:34,,,,,,X,,,F,Cerrado
00002048/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,11:48:27,San Juan de Lurigancho,Zárate,Av. Próceres de la Independencia,5572,,X,-11.937772,-77.048214,No especificado,Cerrado
00002049/23,202303,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-03-27,11:58:53,San Juan de Lurigancho,Zárate,Av. Gran Chimú,1662,,Facebook,-12.021206,-77.030734,F,Cerrado
00002050/23,202303,Otros,"Columna/poste/cable en mal estado, abandonado o cortado",Solicitud,2023-03-27,12:22:28,Independencia,Payet,Av. Chinchaysuyo,132,,Facebook,-11.979501,-77.059453,F,Derivado
00002051/23,202303,Tránsito/Transporte,Reparación de bache - Socavamiento,Solicitud,2023-03-27,12:46:26,Puente Piedra,Laderas de Chillón,Ca. Los Jazmines,533,,X,-11.841068,-77.061923,M,En proceso
00002052/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,12:49:39,Los Olivos,Mercurio,Ca. Los Nogales,383,,Facebook,-11.990559,-77.057462,F,Cerrado
00002053/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-27,12:50:23,Ate,Valdiviezo,Av. Nicolás Ayllón,2730,,Facebook,-12.014234,-76.913466,No especificado,Cerrado
00002054/23,202303,Limpieza Pública,Reparación de contenedor,Solicitud,2023-03-27,12:52:40,San Borja,San Borja Sur,Av. Del Parque Sur,3846,,X,-12.109626,-77.004286,F,Cerrado
00002055/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,13:00:40,El Agustino,Santoyo,Av. Ferrocarril,3291,,Facebook,-12.029653,-76.998805,No especificado,Cerrado
00002056/23,202303,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-03-27,13:18:37,Santa Anita,Cooperativa Universal,Av. Huarochirí,1605,,X,-12.038509,-76.959435,F,Cerrado
00002057/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,13:46:21,San Juan de Lurigancho,Mangomarca,Av. Las Flores de Primavera,3246,,X,-11.994886,-77.022326,No especificado,Cerrado
00002058/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,13:56:05,Comas,Collique,Av. Micaela Bastidas,1650,,Facebook,-11.928043,-77.039635,F,Derivado
00002059/23,202303,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-03-27,14:33:10,Ate,Santa Clara,Av. Metropolitana,1105,,Facebook,-12.038356,-76.916013,No especificado,Cerrado
00002060/23,202303,Tránsito/Transporte,Reparación de vereda por raíces de árbol que producen roturas,Solicitud,2023-03-27,14:33:29,Los Olivos,El Trébol,Av. Carlos Izaguirre,3709,,Facebook,-11.953474,-77.076427,F,Cerrado
00002061/23,202303,Tránsito/Transporte,Reparación de rampa de accesibilidad,Solicitud,2023-03-27,14:35:52,San Martín de Porres,Infantas,Av. Perú,702,,Presencial,-11.995956,-77.081742,F,Cerrado
00002062/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-27,14:52:22,Punta Negra,Balneario Punta Negra,Malecón Punta Negra,1485,,Presencial,-12.384687,-76.790756,M,Ingresado
00002063/23,202303,Tránsito/Transporte,Reparación de vereda por raíces de árbol que producen roturas,Solicitud,2023-03-27,14:59:48,Santa Anita,Universal,Av. Los Ruiseñores,1079,,X,-12.03422,-76.974967,F,Cerrado
00002064/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,15:12:54,Santiago de Surco,Chacarilla,Av. Benavides,1422,,Facebook,-12.138484,-76.969648,F,Cerrado
00002065/23,202303,Limpieza Pública,Reubicación de contenedor,Solicitud,2023-03-27,15:32:51,Ate,Salamanca,Av. Metropolitana,1146,,X,-12.026168,-76.89992,M,Cerrado
00002066/23,202303,Tránsito/Transporte,Reposición de tapa de empresa de servicio público en vereda,Solicitud,2023-03-27,15:53:38,San Juan de Lurigancho,Campoy,Av. El Sol de Zárate,1311,,X,-11.943884,-76.955392,F,Derivado
00002067/23,202303,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-03-27,15:56:43,San Miguel,Elio,Av. Universitaria,2799,,Facebook,-12.068947,-77.090002,No especificado,Cerrado
00002068/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-27,16:25:42,Carabayllo,Torre Blanca,Av. Universitaria Norte,1053,,X,-11.810068,-77.043229,No especificado,En proceso
00002069/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-27,16:51:53,La Molina,Covima,Av. La Fontana,2993,,X,-12.056712,-76.939663,F,Cerrado
00002070/23,202303,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-03-27,17:14:42,Villa María del Triunfo,César Vallejo,Jr. José Gálvez,1187,,X,-12.18406,-76.906282,M,Cerrado
00002071/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-27,17:21:31,Puente Piedra,Jerusalén,Av. Sangarará,2547,,Facebook,-11.875656,-77.06819,No especificado,Derivado
00002072/23,202303,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-03-27,17:29:22,La Molina,Santa Patricia,Av. Javier Prado Este,1450,,Facebook,-12.079788,-76.954441,F,Cerrado
00002073/23,202303,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-03-27,17:59:19,San Juan de Miraflores,Ciudad de Dios,Av. Pedro Miotta,3872,,X,-12.165669,-76.96775,F,Cerrado
00002074/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,18:34:14,Comas,Santa Luzmila,Av. Belaunde,2143,,Facebook,-11.934543,-77.069953,F,Cerrado
00002075/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-27,18:46:12,San Juan de Lurigancho,Bayóvar,Av. Próceres de la Independencia,3095,,Facebook,-12.028998,-77.000217,F,Cerrado
00002076/23,202303,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-03-27,18:46:14,Rímac,Ciudad y Campo,Av. Alcázar,512,,X,-12.028127,-77.04147,F,Cerrado
00002077/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-27,19:53:06,Comas,La Pascana,Av. El Retablo,1468,,Línea telefónica,-11.942364,-77.069296,F,Cerrado
00002078/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-27,19:59:13,Villa María del Triunfo,José Carlos Mariátegui,Av. Salvador Allende,1835,,Facebook,-12.13907,-76.930706,F,Cerrado
00002079/23,202303,Tránsito/Transporte,Reparación de cuneta,Solicitud,2023-03-28,08:55:40,La Victoria,El Porvenir,Jr. Gamarra,1837,,X,-12.05343,-77.019717,No especificado,Derivado
00002080/23,202303,Otros,Pintura sobre grafitis,Solicitud,2023-03-28,09:14:25,Comas,Año Nuevo,Ca. Los Incas,2010,,Facebook,-11.926578,-77.031807,No especificado,Cerrado
00002081/23,202303,Limpieza Pública,Reubicación de tacho de basura,Solicitud,2023-03-28,09:25:48,Pachacámac,José Gálvez de Pachacámac,Av. Manchay,316,,Facebook,-12.235451,-76.89526,F,Cerrado
00002082/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-28,09:41:39,San Martín de Porres,Condevilla,Av. José Granda,cdra. 14,al costado del parque zonal,Facebook,-12.045532,-77.07203,M,Cerrado
00002083/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,09:43:08,Comas,El Retablo,Av. Belaunde,2549,,Facebook,-11.907112,-77.040592,No especificado,Cerrado
00002084/23,202303,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-03-28,09:44:46,Santiago de Surco,La Capullana,Av. Tomás Marsano,3233,,Facebook,-12.143484,-76.98704,F,Cerrado
00002085/23,202303,Limpieza Pública,Reparación de contenedor,Solicitud,2023-03-28,09:50:59,Villa María del Triunfo,César Vallejo,Ca. Las Magnolias,877,,X,-12.159656,-76.908157,No especificado,Cerrado
00002086/23,202303,Limpieza Pública,Reparación de contenedor,Solicitud,2023-03-28,10:00:33,Pachacámac,Huertos de Manchay,Av. Paul Poblet Lind,2419,,X,-12.236107,-76.906479,No especificado,Cerrado
00002087/23,202303,Tránsito/Transporte,Remoción de vehículo abandonado,Solicitud,2023-03-28,10:00:37,San Juan de Miraflores,María Auxiliadora,Ca. Las Turquesas,1668,,X,-12.14325,-76.966937,No especificado,Cerrado
00002088/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,10:05:46,Ate,Valdiviezo,Av. Metropolitana,445,,X,-12.03119,-76.934254,No especificado,Cerrado
00002089/23,202303,Limpieza Pública,Reparación de contenedor,Solicitud,2023-03-28,10:10:42,Jesús María,San José,Av. Brasil,2825,,Facebook,-12.071015,-77.043342,No especificado,Cerrado
00002090/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,10:11:05,Independencia,Payet,Av. Carlos Izaguirre,1920,,Facebook,-11.973509,-77.037059,No especificado,Cerrado
00002091/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-28,10:16:07,Carabayllo,San Pedro de Carabayllo,Av. Camino Real de Carabayllo,4825,,Facebook,-11.877601,-77.069651,No especificado,Cerrado
00002092/23,202303,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-03-28,10:18:10,San Luis,Villa Jardín,Ca. Timoteo,2569,,X,-12.067272,-76.989882,F,Cerrado
00002093/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,10:25:54,San Martín de Porres,Palao,Av. Perú,4455,,Facebook,-12.014622,-77.089095,No especificado,Cerrado
00002094/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-28,10:41:54,Lurigancho-Chosica,Chosica Centro,Av. Las Torres,1240,,X,-11.933502,-76.671093,No especificado,Cerrado
00002095/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-28,11:08:20,Carabayllo,Santa Isabel,Av. San Felipe,911,,Facebook,-11.895997,-77.011376,No especificado,Cerrado
00002096/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-28,11:12:54,San Martín de Porres,Santa Luisa,Av. Tomás Valle,1985,,Facebook,-12.023031,-77.077841,No especificado,Cerrado
00002097/23,202303,Tránsito/Transporte,Reparación de rampa de accesibilidad,Solicitud,2023-03-28,11:21:26,Villa El Salvador,Pachacámac VES,Av. César Vallejo,2602,,Facebook,-12.188278,-76.939683,F,Cerrado
00002098/23,202303,Áreas Verdes,Falta de recolección de restos de poda de arbolado público,Solicitud,2023-03-28,11:22:39,La Molina,Covima,Av. Los Constructores,4885,,Facebook,-12.069428,-76.955456,F,Cerrado
00002099/23,202303,Tránsito/Transporte,Reparación de rampa de accesibilidad,Solicitud,2023-03-28,11:31:40,Puente Piedra,Jerusalén,Av. Sangarará,407,,X,-11.885219,-77.102367,No especificado,Cerrado
00002100/23,202303,Tránsito/Transporte,Remoción de vehículo abandonado,Solicitud,2023-03-28,11:35:25,Ancón,Balneario de Ancón,Ca. Loreto,5133,,X,-11.782627,-77.159068,M,Cerrado
00002101/23,202303,Tránsito/Transporte,Reparación de vereda por raíces de árbol que producen roturas,Solicitud,2023-03-28,11:53:32,La Victoria,Santa Catalina,Jr. Gamarra,2192,,X,-12.063811,-77.020756,No especificado,Cerrado
00002102/23,202303,Otros,Reparación de vereda,Solicitud,2023-03-28,11:57:39,San Luis,Cahuache,Jr. Las Moreras,3534,,Facebook,-12.07317,-76.990712,F,Derivado
00002103/23,202303,Tránsito/Transporte,Reparación de cuneta,Solicitud,2023-03-28,12:02:49,Surquillo,Casas Huertas,Av. Tomás Marsano,557,,Facebook,-12.108645,-77.012658,F,Derivado
00002104/23,202303,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-03-28,12:12:10,San Martín de Porres,Condevilla,Av. Perú,151,,Línea telefónica,-12.000017,-77.060308,M,Cerrado
00002105/23,202303,Tránsito/Transporte,Reparación de bache en pista,Solicitud,2023-03-28,12:20:11,San Juan de Lurigancho,Caja de Agua,Av. Canto Grande,1779,,X,-11.985466,-76.957408,F,Cerrado
00002106/23,202303,Alumbrado Público,Reparación de luminaria por artefacto roto,Solicitud,2023-03-28,12:37:11,San Juan de Miraflores,Ciudad de Dios,Av. César Canevaro,3209,,Línea telefónica,-12.173185,-76.959965,F,Cerrado
00002107/23,202303,Otros,Criaderos de mosquitos,Denuncia,2023-03-28,12:43:21,Carabayllo,El Progreso,Av. Universitaria Norte,cdra. 36,al costado del parque zonal,Facebook,-11.816888,-76.986983,F,Derivado
00002108/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,12:50:52,Villa María del Triunfo,José Carlos Mariátegui,Av. El Triunfo,4336,,Facebook,-12.183311,-76.911599,F,Cerrado
00002109/23,202303,Otros,Pintura sobre grafitis,Solicitud,2023-03-28,12:56:57,La Molina,Covima,Av. La Fontana,1646,,X,-12.089054,-76.93289,F,Cerrado
00002110/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,12:56:59,Rímac,El Manzano,Av. Alcázar,525,,Facebook,-12.018142,-77.039832,No especificado,Cerrado
00002111/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-28,13:04:59,La Victoria,Balconcillo,Av. Canadá,cdra. 31,a la altura del paradero de Av. México,X,-12.061003,-77.010116,M,Cerrado
00002112/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-28,13:14:10,Comas,Collique,Av. El Retablo,1135,,Facebook,-11.944735,-77.048524,M,Cerrado
00002113/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,13:17:53,San Juan de Miraflores,María Auxiliadora,Av. Pedro Miotta,809,,Facebook,-12.142035,-76.986915,F,En proceso
00002114/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-28,13:38:07,Ate,Valdiviezo,Av. Nicolás Ayllón,cdra. 10,a la altura del grifo,X,-11.994529,-76.93334,M,Cerrado
00002115/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,13:43:00,Villa María del Triunfo,Nueva Esperanza,Av. 26 de Noviembre,2080,,X,-12.187103,-76.956986,F,Cerrado
00002116/23,202303,Tránsito/Transporte,Reposición de tapa de empresa de servicio público en vereda,Solicitud,2023-03-28,13:52:25,Pueblo Libre,Los Cipreses,Jr. Manco Segundo,1811,,X,-12.081677,-77.065912,M,Derivado
00002117/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,14:09:15,El Agustino,Santoyo,Av. César Vallejo,934,,Facebook,-12.053002,-76.978219,F,Cerrado
00002118/23,202303,Otros,Pintura sobre grafitis,Solicitud,2023-03-28,14:11:08,Puente Piedra,Jerusalén,Av. San Juan de Dios,3228,,Facebook,-11.857256,-77.064843,F,Cerrado
00002119/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,14:19:41,Villa María del Triunfo,Tablada de Lurín,Ca. Las Magnolias,2702,,Facebook,-12.166876,-76.945255,F,Cerrado
00002120/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,14:23:49,Rímac,Leoncio Prado,Av. Amancaes,337,,Facebook,-12.020018,-77.037432,F,Cerrado
00002121/23,202303,Tránsito/Transporte,Nivelación por hundimiento del pavimento,Solicitud,2023-03-28,14:30:28,Carabayllo,Lucyana,Av. Camino Real de Carabayllo,4700,,Presencial,-11.839911,-77.025021,F,Cerrado
00002122/23,202303,Tránsito/Transporte,Nivelación de tapa de empresa de servicio público en vereda,Solicitud,2023-03-28,14:38:59,Comas,El Retablo,Av. El Retablo,2110,,Facebook,-11.90462,-77.024467,F,Cerrado
00002123/23,202303,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-03-28,14:48:40,Cercado de Lima,Santa Beatriz,Av. Abancay,2649,,X,-12.029586,-77.024078,M,Cerrado
00002124/23,202303,Otros,Pintura sobre grafitis,Solicitud,2023-03-28,14:52:47,San Martín de Porres,Palao,Av. Perú,490,,X,-12.023256,-77.072457,F,Cerrado
00002125/23,202303,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-03-28,15:49:29,Ate,Ceres,Av. La Molina,193,,Facebook,-12.026992,-76.901811,F,Cerrado
00002126/23,202303,Otros,Acceso a la información pública,Solicitud,2023-03-28,16:04:49,,,,,,X,,,F,Cerrado
00002127/23,202303,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-03-28,16:24:23,Pachacámac,José Gálvez de Pachacámac,Av. Manchay,1200,,Línea telefónica,-12.20582,-76.845442,F,Cerrado
00002128/23,202303,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-03-28,17:07:15,Cercado de Lima,Unidad Vecinal Mirones,Av. Argentina,1460,,X,-12.057468,-77.050564,No especificado,Cerrado
00002129/23,202303,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-03-28,17:57:28,Chorrillos,San Genaro,Av. Huaylas,882,,Facebook,-12.191207,-77.018689,M,Cerrado
00002130/23,202303,Otros,Inconvenientes con trámites,Reclamo,2023-03-28,18:32:26,Magdalena del Mar,Marbella,Av. Brasil,753,,Línea telefónica,-12.095786,-77.06235,M,Cerrado
